value,type,first_seen,last_seen,status,confidence,n_sources,stories
sspicli.dll,domain,2026-05-23,2026-05-23,expired,reported,1,lazarus-remotepe-memory-resident-rat-that-never-touches-disk-tar
staples.com,domain,2026-08-10,2026-08-10,active,reported,1,how-to-fake-a-data-trail-and-maybe-lower-prices-lock-and-code-s0
state.kv,domain,2026-06-02,2026-06-02,expired,reported,1,cve-2026-4387-strongdm-windows-desktop-plaintext-session-tokens
storage.buckets.delete,domain,2026-06-23,2026-06-23,expired,reported,1,unit-42-reveals-universal-bucket-hijacking-global-namespace-atta
striga.ai,domain,2026-05-28,2026-05-28,expired,reported,1,apache-http-server-critical-double-free-rce-cve-2026-23918-patch
supportiveis.com,domain,2026-08-11,2026-08-11,active,reported,1,storm-ransomware-group-targets-supportive-insurance-services
svchost.exe,domain,2026-07-20,2026-07-20,active,reported,1,hellonet-vipnet-update-mechanism-abused-against-russian-governme
svchost32.exe,domain,2026-08-01,2026-08-01,active,reported,1,captivecrunch-midnight-blizzard-sub-cluster-weaponizes-hotel-wi
sys.path,domain,2026-06-10,2026-06-10,expired,reported,1,shai-hulud-supply-chain-campaign-escalates-100-packages-471-mali
sys.rzadmin.password,domain,2026-07-08,2026-07-10,expired,reported,1,cve-2026-11405-tenda-router-firmware-hidden-backdoor-no-patch-av
syslog.conf,domain,2026-05-19,2026-05-19,expired,reported,1,seppmail-gateway-7-critical-cves-enable-pre-auth-rce-and-full-ma
sysupdate.jpeg,domain,2026-05-11,2026-05-11,expired,reported,1,weaponized-jpeg-drops-trojanized-screenconnect-with-credential-p
t.rad,domain,2026-08-11,2026-08-11,active,reported,1,wallstreet-ransomware-group-attacks-t-rad-north-america
tailwind.js,domain,2026-06-02,2026-06-02,expired,reported,1,chollima-dprk-abuses-packagist-blockchain-dead-drop-loader-targe
tasks.json,domain,2026-06-08,2026-06-08,expired,reported,1,miasma-worm-hits-73-microsoft-github-repositories-supply-chain-a
tcpip.sys,domain,2026-05-17,2026-05-17,expired,reported,1,microsoft-mdash-multi-model-agentic-security-system-with-100-ai
techcrunch.com,domain,2026-07-31,2026-07-31,active,reported,1,breach-disclosures-carecloud-350-000-healthcare-records-analog-d
telegra.ph,domain,2026-06-02,2026-06-02,expired,reported,1,gamaredon-apt-launches-fileless-campaign-against-ukraine-gammawo
telegram.app,domain,2026-07-31,2026-07-31,active,reported,1,xcsset-v40-macos-developer-targeting-malware-returns-with-filele
teletype.in,domain,2026-06-02,2026-06-02,expired,reported,1,gamaredon-apt-launches-fileless-campaign-against-ukraine-gammawo
termsrv.dll,domain,2026-05-26,2026-05-26,expired,reported,1,cloud-atlas-apt-novel-termsrv-dll-modification-enables-multiple
the.hosting,domain,2026-05-23,2026-05-23,revoked,reported,1,netherlands-seizes-800-servers-stark-industries-worktitans-linke
threats.but,domain,2026-08-11,2026-08-11,active,reported,1,nist-wants-to-overhaul-its-vulnerability-database-for-the-ai-age
throttlestop.sys,domain,2026-07-11,2026-07-11,expired,reported,1,the-gentlemen-ransomware-storm-2697-fastest-growing-raas-of-2026
timeago.js,domain,2026-05-20,2026-05-20,expired,reported,1,shai-hulud-returns-639-malicious-npm-packages-published-in-one-h
token.actions.githubusercontent.com,domain,2026-06-12,2026-06-12,expired,reported,1,criminal-ai-as-a-service-in-2026-underground-market-shifts-from
tradna.com,domain,2026-08-11,2026-08-11,active,reported,1,wallstreet-ransomware-group-attacks-t-rad-north-america
tsserverlibrary.js,domain,2026-05-26,2026-05-26,expired,reported,1,angular-language-service-vs-code-extension-rce-two-attack-vector
typescript.tsdk,domain,2026-05-26,2026-05-26,expired,reported,1,angular-language-service-vs-code-extension-rce-two-attack-vector
ultimate.dll,domain,2026-06-22,2026-06-22,expired,reported,1,multi-stage-steganographic-campaign-delivers-remcos-rat-and-dive
unattend.xml,domain,2026-06-12,2026-06-12,expired,reported,1,greatxml-eighth-nightmare-eclipse-zero-day-turns-defender-offlin
unityplayer.dll,domain,2026-05-30,2026-05-30,revoked,reported,1,operation-dragon-weave-china-linked-espionage-campaign-targets-c
updater.rar,domain,2026-07-24,2026-07-24,active,reported,1,uac-0099-abuses-notepad-plugins-for-sandworm-initial-access
utilifysetup.exe,domain,2026-05-25,2026-05-25,expired,reported,1,ghost-cms-sql-injection-exploited-in-large-scale-clickfix-campai
uxtheme.dll,domain,2026-07-08,2026-07-08,expired,reported,1,cavern-manticore-iran-mois-deploys-modular-cavern-c2-framework-a
v7.msi,domain,2026-07-07,2026-07-07,expired,reported,1,fake-it-support-calls-on-microsoft-teams-deliver-etherrat-malwar
